Ticker,Proportion_Selected
ENPH,0.39271255060728744
AMD,0.337246963562753
CZR,0.3368421052631579
TSLA,0.33481781376518216
MTCH,0.32267206477732796
DXCM,0.32267206477732796
SMCI,0.32105263157894737
BLDR,0.3194331983805668
NVDA,0.31821862348178137
APA,0.31700404858299597
PODD,0.31659919028340083
PAYC,0.31619433198380564
AXON,0.31497975708502024
DVN,0.3101214574898785
EQT,0.3076923076923077
FSLR,0.3072874493927126
MRO,0.3068825910931174
ON,0.30647773279352225
FANG,0.30364372469635625
WBD,0.302834008097166
MU,0.30080971659919026
MPWR,0.2975708502024291
ANET,0.297165991902834
DECK,0.29676113360323886
HES,0.2963562753036437
NCLH,0.2951417004048583
FCX,0.29473684210526313
QRVO,0.2935222672064777
CF,0.2935222672064777
NOW,0.29109311740890687
HAL,0.29068825910931173
TRGP,0.28825910931174087
MPC,0.28785425101214573
STLD,0.28704453441295547
FTNT,0.28502024291497974
NFLX,0.2846153846153846
ALGN,0.2846153846153846
URI,0.28380566801619433
ALB,0.28259109311740893
CTRA,0.28259109311740893
NRG,0.28259109311740893
WDC,0.28259109311740893
LRCX,0.28218623481781374
EPAM,0.2817813765182186
INCY,0.2813765182186235
BKR,0.2805668016194332
GNRC,0.27975708502024293
MOS,0.2785425101214575
STX,0.2777327935222672
VLO,0.2761133603238866
NEM,0.27530364372469635
RCL,0.2732793522267207
AMAT,0.2728744939271255
MOH,0.2716599190283401
WYNN,0.27125506072874495
UAL,0.2708502024291498
MGM,0.2700404858299595
PANW,0.26842105263157895
CCL,0.26842105263157895
LULU,0.26558704453441295
KLAC,0.26437246963562755
TPR,0.26437246963562755
TTWO,0.2639676113360324
MKTX,0.2631578947368421
TER,0.2623481781376518
EOG,0.2619433198380567
PCG,0.2619433198380567
CTLT,0.2619433198380567
ZBRA,0.2611336032388664
COP,0.26072874493927123
REGN,0.25991902834008096
SWKS,0.2595141700404858
PARA,0.2591093117408907
ADSK,0.2582995951417004
MCHP,0.25668016194331983
VRTX,0.2562753036437247
PHM,0.2562753036437247
FICO,0.2554655870445344
GDDY,0.25425101214574897
NVR,0.25425101214574897
CMG,0.25384615384615383
KMX,0.2534412955465587
EXPE,0.25303643724696356
CNC,0.25303643724696356
BBY,0.2522267206477733
ODFL,0.2522267206477733
LEN,0.25020242914979757
DPZ,0.24979757085020243
IDXX,0.24898785425101214
DHI,0.248582995951417
KKR,0.24817813765182187
DLR,0.24817813765182187
META,0.24777327935222673
RL,0.24777327935222673
AES,0.2465587044534413
ULTA,0.2465587044534413
PYPL,0.24534412955465587
VTRS,0.24412955465587044
SLB,0.24331983805668017
LYV,0.24129554655870444
DAL,0.2408906882591093
CBOE,0.24048582995951417
AVGO,0.24008097165991904
CRL,0.2388663967611336
CHTR,0.23846153846153847
OXY,0.2380566801619433
LVS,0.2380566801619433
KR,0.23765182186234818
DLTR,0.23724696356275304
TSCO,0.23684210526315788
BX,0.23643724696356275
LUV,0.23643724696356275
SYF,0.23562753036437248
RF,0.23522267206477732
OKE,0.23481781376518218
NUE,0.23481781376518218
VTR,0.23319838056680162
TYL,0.23319838056680162
APTV,0.23279352226720648
BWA,0.23238866396761135
SBAC,0.23157894736842105
NXPI,0.23117408906882592
CSGP,0.23076923076923078
NTAP,0.23076923076923078
MSCI,0.23036437246963562
CFG,0.22955465587044535
MHK,0.2291497975708502
PSX,0.2291497975708502
EW,0.2291497975708502
POOL,0.2291497975708502
WST,0.22834008097165992
EQIX,0.22834008097165992
VST,0.22834008097165992
EXR,0.22793522267206479
KEY,0.2271255060728745
TECH,0.22672064777327935
HUM,0.22631578947368422
SCHW,0.22591093117408906
GEN,0.22550607287449392
ADBE,0.22550607287449392
KIM,0.22550607287449392
PTC,0.22469635627530365
HST,0.22388663967611336
EA,0.22388663967611336
CDNS,0.22348178137651822
ELV,0.2222672064777328
MCK,0.2222672064777328
DOC,0.2222672064777328
LLY,0.22186234817813766
JBL,0.22145748987854252
BA,0.22064777327935223
EBAY,0.22064777327935223
INTU,0.2202429149797571
UHS,0.2202429149797571
BIIB,0.21983805668016193
BKNG,0.2194331983805668
CI,0.2194331983805668
WMB,0.21902834008097166
HCA,0.21902834008097166
CRM,0.21902834008097166
MRNA,0.21862348178137653
AMZN,0.21862348178137653
DRI,0.2174089068825911
TDG,0.21700404858299596
FITB,0.21700404858299596
ORLY,0.2165991902834008
WELL,0.2165991902834008
PWR,0.21619433198380567
DVA,0.21619433198380567
QCOM,0.21578947368421053
TFX,0.21497975708502023
IRM,0.2145748987854251
JBHT,0.2125506072874494
IVZ,0.2125506072874494
HPQ,0.2117408906882591
FMC,0.2117408906882591
CAH,0.2117408906882591
GE,0.21133603238866397
DG,0.21093117408906883
COR,0.21093117408906883
HAS,0.21093117408906883
CPB,0.21093117408906883
INTC,0.21052631578947367
XEL,0.21012145748987854
AZO,0.21012145748987854
HPE,0.21012145748987854
KEYS,0.2097165991902834
HBAN,0.2097165991902834
ERIE,0.2097165991902834
RMD,0.2097165991902834
MLM,0.2097165991902834
NEE,0.20931174089068827
TSN,0.2089068825910931
MTD,0.20850202429149797
CHRW,0.20850202429149797
BG,0.20850202429149797
EIX,0.20850202429149797
MAR,0.20850202429149797
ETR,0.2076923076923077
GM,0.20728744939271254
SNPS,0.2068825910931174
RVTY,0.2068825910931174
TMUS,0.2068825910931174
VMC,0.2068825910931174
TRMB,0.2068825910931174
AMT,0.2068825910931174
DAY,0.20647773279352227
ESS,0.20566801619433198
ABBV,0.20566801619433198
ES,0.20526315789473684
DELL,0.20526315789473684
