date,PnL,Cumulative_Returns,Drawdown
2024-01-02,-0.01604289323929542,-0.01604289323929542,
2024-01-03,0.024244464218026174,0.024244464218026174,
2024-01-04,0.03534884004445171,0.03534884004445171,
2024-01-05,0.05123342096852146,0.05123342096852146,
2024-01-08,0.13096356236128748,0.13096356236128748,
2024-01-09,0.15576629082651117,0.15576629082651117,
2024-01-10,0.29708104553324866,0.29708104553324866,
2024-01-11,0.37022914968823484,0.37022914968823484,
2024-01-12,0.35914801960316156,0.35914801960316156,
2024-01-16,0.49841639780617397,0.49841639780617397,
2024-01-17,0.5813705526378499,0.5813705526378499,
2024-01-18,0.5675942579073416,0.5675942579073416,
2024-01-19,0.6396413608232416,0.6396413608232416,
2024-01-22,0.7117220328165708,0.7117220328165708,
2024-01-23,0.7437810095132884,0.7437810095132884,
2024-01-24,0.8174277961976062,0.8174277961976062,
2024-01-25,0.8431076286622283,0.8431076286622283,
2024-01-26,0.9644848109026452,0.9644848109026452,
2024-01-29,1.062581530207083,1.062581530207083,
2024-01-30,1.1918649318184764,1.1918649318184764,
2024-01-31,1.2961678341256424,1.2961678341256424,
2024-02-01,1.3570732848907188,1.3570732848907188,
2024-02-02,1.5264549135583718,1.5264549135583718,
2024-02-05,1.5674645969851966,1.5674645969851966,
2024-02-06,1.6321639150910694,1.6321639150910694,
2024-02-07,1.6951929285669243,1.6951929285669243,
2024-02-08,1.7505451434761627,1.7505451434761627,
2024-02-09,1.9188099639133265,1.9188099639133265,
2024-02-12,1.760965894077097,1.760965894077097,
2024-02-13,1.9936385211415737,1.9936385211415737,
2024-02-14,1.8672494032581977,1.8672494032581977,
2024-02-15,1.9043013556665773,1.9043013556665773,
2024-02-16,1.9834716241134491,1.9834716241134491,
2024-02-20,2.154810281838413,2.154810281838413,
2024-02-21,2.2876562963823672,2.2876562963823672,
2024-02-22,2.320026833498823,2.320026833498823,
2024-02-23,2.497517907103328,2.497517907103328,
2024-02-26,2.60871320677641,2.60871320677641,
2024-02-27,2.791764309612787,2.791764309612787,
2024-02-28,2.947131032896012,2.947131032896012,
2024-02-29,3.139635314936993,3.139635314936993,
2024-03-01,3.280353339306748,3.280353339306748,
2024-03-04,3.339905946111691,3.339905946111691,
2024-03-05,3.515765918868693,3.515765918868693,
2024-03-06,3.6674970745180024,3.6674970745180024,
2024-03-07,3.596942714310714,3.596942714310714,
2024-03-08,3.669049331272836,3.669049331272836,
2024-03-11,3.557881340981589,3.557881340981589,
2024-03-12,3.6045532187936864,3.6045532187936864,
2024-03-13,3.8203978841876447,3.8203978841876447,
2024-03-14,3.878009250146614,3.878009250146614,
2024-03-15,3.90330485668086,3.90330485668086,
2024-03-18,3.947651758909651,3.947651758909651,
2024-03-19,4.204927662495427,4.204927662495427,
2024-03-20,4.293484509898582,4.293484509898582,
2024-03-21,4.299418624872958,4.299418624872958,
2024-03-22,4.326002687454714,4.326002687454714,
2024-03-25,4.314165315016808,4.314165315016808,
2024-03-26,3.8277678953367573,3.8277678953367573,
2024-03-27,3.8401912982847977,3.8401912982847977,
2024-03-28,3.930183072703797,3.930183072703797,
2024-04-01,4.009291194208478,4.009291194208478,
2024-04-02,3.7010862928081547,3.7010862928081547,
2024-04-03,3.4899539020188612,3.4899539020188612,
2024-04-04,3.4295344269667023,3.4295344269667023,
2024-04-05,3.3490313875080124,3.3490313875080124,
2024-04-08,3.3674595834585492,3.3674595834585492,
2024-04-09,3.619850078751334,3.619850078751334,
2024-04-10,3.6434274866974112,3.6434274866974112,
2024-04-11,3.5922742905111713,3.5922742905111713,
2024-04-12,3.7419460423830078,3.7419460423830078,
2024-04-15,3.6207995814811778,3.6207995814811778,
